id,count
0,100.76
1,199.14
2,94.12
4,31.48
5,66.57
10,121.7
11,205.85
12,331.2
15,35.54
17,119.17
18,298.8
23,254.07
25,80.62
26,36.67
31,211.71
39,142.14
40,26.92
41,195.78
42,371.67
43,151.4
51,209.82
52,94.41
54,15.97
60,143.79
61,152.89
62,112.64
63,31.06
65,114.63
66,111.75
68,137.87
71,74.66
80,28.88
82,56.26
94,136.55
98,266.47
101,35.01
102,125.71
107,131.99
112,249.45
113,76.05
115,60.6
116,116.94
120,156.51
121,90.27
122,342.61
132,218.95
143,91.55
147,60.45
150,17.11
151,87.02
152,217.47
153,92.74
155,183.1
156,86.27
159,178.75
161,117.29
163,45.7
177,173.88
186,13.48
188,20.13
190,91.53
191,89.26
192,273.19
195,318.66
200,152.53
209,314.47
210,15.54
211,232.42
214,140.63
215,25.47
218,99.69
219,30.84
222,120.97
225,15.47
228,321.31
236,221.68
241,33.95
242,160.92
243,231.44
245,17.78
247,249.5
251,137.46
252,86.36
253,87.87
254,101.38
258,327.14
260,44.11
261,182.27
265,117.66
266,293.19
267,304.4
269,154.24
270,62.34
275,99.03
278,32.14
279,83.61
286,96.31
287,26.44
288,205.04
289,143.83
293,18.69
294,153.04
297,40.49
302,127.85
303,64.34
304,69.27
307,99.7
309,16.49
311,167.81
312,113.43
314,173.19
315,238.41
319,159.96
322,115.81
323,58.79
325,115.28
327,254.92
330,31.55
332,185.08
333,17.36
338,102.28
341,113.99
345,207.7
348,120.66
349,46.72
350,113.62
352,58.96
355,16.0
356,236.02
358,63.53
363,129.04
369,165.87
371,17.1
372,136.09
375,306.76
380,135.72
388,45.69
391,138.06
392,272.21
393,391.25
394,211.47
396,26.92
401,36.63
407,106.14
409,84.9
410,118.99
416,119.42
418,122.8
420,150.47
421,233.98
422,127.92
424,280.14
428,358.09
429,223.11
431,159.5
435,10.64
439,109.21
441,11.82
447,97.57
449,127.39
451,125.0
452,14.83
454,213.58
458,230.96
463,127.1
467,14.31
470,261.86
471,158.52
474,298.24
478,15.86
483,123.63
484,115.48
485,84.57
486,130.01
491,104.25
494,98.76
495,251.06
497,201.75
499,152.33
515,110.1
518,214.49
521,174.4
525,157.48
529,240.08
532,149.23
534,113.34
540,117.52
544,299.52
547,165.81
549,46.66
563,36.57
564,141.58
567,127.94
572,106.34
577,118.79
578,271.31
585,360.91
588,131.97
589,118.27
590,102.19
592,16.87
594,250.75
596,14.55
598,369.49
599,142.74
605,38.85
606,138.47
607,255.73
608,216.64
609,60.48
610,275.34
611,182.65
614,126.98
615,234.16
616,257.33
617,121.6
618,239.49
624,118.52
629,143.08
631,94.27
633,101.53
637,24.41
638,108.34
643,74.21
644,134.81
645,31.72
646,213.6
648,177.67
650,37.18
651,188.91
652,268.49
656,113.9
657,19.99
659,61.45
660,183.9
662,101.55
665,398.89
675,331.31
681,156.55
682,203.73
685,19.96
686,225.9
689,25.16
696,136.15
703,138.42
704,100.01
705,126.19
714,241.6
717,102.58
718,13.9
720,82.35
721,249.13
723,234.86
726,200.12
728,151.46
730,180.61
731,25.89
734,347.32
737,73.32
738,19.09
745,166.56
746,25.21
749,237.39
752,25.69
753,179.78
758,248.9
765,15.71
766,231.67
768,87.93
769,182.73
774,119.55
775,101.98
781,58.51
784,336.36
794,18.73
795,268.76
796,85.75
802,157.19
803,203.89
805,33.64
806,298.67
807,104.6
809,16.27
810,160.3
812,196.86
814,118.65
818,245.13
819,134.52
825,73.33
836,117.13
839,117.6
847,256.68
848,178.93
851,109.6
852,129.56
853,33.36
857,136.08
858,43.83
859,220.96
861,20.04
867,98.65
870,223.72
871,215.65
872,241.26
874,381.87
881,194.22
886,130.8
890,58.69
895,159.6
899,94.06
900,269.17
901,252.31
902,255.57
903,40.43
913,254.6
918,178.6
923,145.4
924,35.87
926,24.92
927,19.07
930,230.21
934,30.01
937,134.32
939,143.3
941,91.74
942,378.67
946,284.06
950,97.37
953,81.2
959,102.45
961,28.89
962,96.07
964,77.35
969,190.44
971,149.45
976,41.46
978,242.15
980,255.59
981,139.08
990,386.66
993,19.53
996,20.18
998,336.38
999,187.79
1006,120.36
1008,15.3
1013,31.13
1015,98.38
1016,122.68
1022,304.21
1026,232.8
1028,230.59
1031,53.53
1034,48.71
1037,192.84
1040,66.39
1042,20.17
1046,19.01
1048,103.34
1049,108.89
1050,58.69
1051,209.67
1052,247.34
1055,182.74
1060,163.6
1064,26.54
1066,78.38
1071,102.97
1073,12.69
1089,194.46
1091,84.94
1092,74.46
1093,225.72
1096,318.96
1097,223.0
1098,19.0
1099,40.25
1102,183.47
1107,107.24
1109,40.02
1111,130.95
1112,113.07
1114,307.4
1116,297.3
1117,117.38
1118,68.36
1122,130.6
1124,161.26
1127,124.46
1133,227.94
1134,35.4
1135,147.7
1139,299.5
1143,55.21
1150,117.67
1151,108.65
1153,273.1
1155,25.27
1162,27.3
1163,222.32
1166,20.72
1171,87.91
1172,14.81
1173,251.97
1174,80.3
1177,119.34
1178,171.71
1184,188.87
1185,114.77
1186,119.74
1187,145.18
1188,293.73
1191,129.62
1207,121.78
1213,47.16
1215,136.17
1223,162.05
1227,115.99
1236,60.13
1237,59.32
1238,18.0
1241,28.19
1248,17.3
1250,37.12
1251,171.22
1253,115.72
1255,98.93
1257,165.23
1261,109.41
1262,363.98
1265,114.64
1273,164.5
1277,266.96
1278,106.27
1280,115.66
1284,240.33
1285,333.7
1288,36.79
1295,111.29
1297,372.91
1299,251.41
1304,150.7
1308,38.17
1310,97.66
1311,112.76
1314,97.42
1315,109.4
1318,30.1
1320,324.45
1321,300.46
1322,227.42
1330,115.69
1333,156.19
1334,227.19
1341,134.19
1344,144.53
1351,226.16
1354,104.46
1356,58.54
1363,118.17
1365,221.69
1369,121.8
1373,118.85
1375,115.58
1377,95.19
1379,133.01
1380,283.94
1381,99.49
1384,176.69
1390,191.96
1393,242.17
1395,52.94
1399,324.6
1400,91.75
1401,144.96
1404,168.46
1408,13.68
1409,27.18
1413,235.98
1416,285.56
1418,106.77
1423,98.91
1424,27.0
1425,14.95
1433,264.81
1434,132.62
1436,336.6
1442,257.83
1444,85.99
1445,116.41
1452,228.39
1455,160.09
1462,71.12
1467,70.77
1472,44.33
1475,182.3
1493,109.82
1501,223.23
1503,302.09
1504,212.37
1505,14.05
1511,223.41
1512,55.73
1513,73.36
1514,40.49
1528,231.21
1533,237.21
1534,29.9
1536,146.01
1537,73.18
1539,248.82
1550,234.5
1552,211.14
1554,210.5
1555,379.93
1556,97.13
1559,34.95
1563,236.41
1566,125.67
1567,165.88
1568,28.59
1571,232.43
1572,17.09
1574,52.26
1577,17.66
1583,94.19
1585,28.31
1586,208.26
1587,195.95
1596,144.59
1602,33.62
1604,85.79
1605,34.07
1610,307.84
1611,97.51
1616,36.21
1617,102.04
1618,15.75
1622,44.36
1623,33.16
1628,307.82
1631,17.85
1632,186.22
1633,244.58
1634,323.32
1636,223.85
1637,104.89
1643,115.42
1644,109.96
1646,100.72
1648,204.06
1651,29.34
1656,18.64
1658,143.68
1659,17.48
1665,183.4
1666,140.21
1670,39.84
1674,158.59
1679,205.97
1680,209.84
1683,341.25
1686,26.36
1691,99.92
1693,34.2
1696,42.05
1697,101.43
1703,103.43
1706,27.15
1709,160.04
1710,89.68
1712,193.56
1713,126.8
1718,362.89
1719,178.24
1722,295.33
1723,130.82
1724,286.79
1728,59.47
1730,34.45
1732,25.44
1737,38.64
1745,89.17
1747,14.4
1748,11.35
1755,96.36
1759,17.41
1761,279.52
1764,232.32
1765,157.38
1766,90.67
1768,103.88
1770,28.47
1771,146.79
1774,93.16
1785,124.85
1788,189.34
1792,14.32
1794,232.99
1797,120.27
1798,14.85
1799,271.94
1802,104.88
1806,32.75
1808,83.46
1810,242.33
1818,105.68
1819,388.31
1820,282.99
1822,222.11
1826,217.48
1827,185.33
1835,18.25
1841,110.68
1842,149.66
1843,16.91
1846,43.87
1849,90.72
1850,211.51
1851,194.0
1857,54.42
1858,182.72
1860,95.57
1861,252.66
1864,118.58
1869,338.55
1871,63.46
1872,32.67
1875,17.25
1878,217.38
1879,239.27
